AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
            2669        66.25                    20
             267       114                        4
            2670        72.25                    20
            2671        61.7692                  26
            2672        62.8125                  16
            2673        47.8889                   9
            2674       100.8                     10
            2675        32.4                      5
            2676       103.25                     8
            2677        53                       10
            2678        37.1905                  21
            2679        23.5294                  17
            2680        55.5714                  14
            2681        22.8923                  65
            2682        40.7407                  27
            2683        27.9091                  22
            2684        21.6667                   3
            2685         8.83333                  6
            2686        17.3846                  13
            2687         6.08333                 12
            2688         6.94444                 18
            2689         9                        7
             269        50.6667                   3
            2690        17.2222                   9
            2691         6.14286                  7
            2692        23.5                      2
            2693         7.75                     4
            2694        11.2                      5
            2695         2                        1
            2696       105                        3
            2697         1.4                      5
            2698         1                        3
              27        38.1506                2310
             270        63.8333                   6
            2700         7                        2
            2704         4                        1
            2706         2                        1
             271        19.2                      5
            2718       814                        1
             272        20.5                      2
             273        38.6                      5
            2730      4211                        1
             274       151                        1
             276        33.125                    8
             277        36                        5
             278        42                       13
             279        42.8333                   6
              28        42.3193                1901
             280       110.8                      5
             281        26.875                    8
             282        60.5                      6
             283        18.1667                   6
             284        54.4444                   9
             285        84.6667                   6
             286        59.6                      5
             287         6                        6
             288        25.0714                  14
             289        93.5714                   7
              29        37.182                 1648
             290        24.125                    8
             291        75                        1
             292        27.5                      2
             293        22.7143                   7
             294       142.571                    7
             295        48.3333                   3
             296        31.8333                   6
             297        19                        2
             298        35                        5
             299        29                        5
               3        24.7266             2308348
              30        39.9239                1499
             300        52                        5
             301        54.1667                   6
             302        23.4615                  13
             303        54.6                     10
             304        24.125                    8
             305        24                        7
             306        96.3333                   3
             307        50.4118                  17
             308        33.7143                   7
             309        25.1429                   7
              31        40.3662                1229
             310        42.3636                  11
             311        19.6667                   3
             312        36.1111                   9
             313        39.45                    20
             314        30.7727                  22
             315        37.2105                  19
             316        53.75                     4
             317        38                       14
             318        82.1111                   9
             319        36.1429                   7
              32        45.0804                1095
             320        24.05                    20
             321        42.1765                  17
             322        65.5                      6
             323        33.2727                  11
             324        29.3333                  15
             325        42.5556                   9
             326        30                        8
             327        86                        1
             328        74                        4
             329        22.6364                  11
              33        44.5505                 930
             330        36.1429                   7
             331        22.7778                   9
             332        49.8333                  18
             333        29.875                    8
             334        57.6364                  11
             335        52.5                     12
             336        39.5833                  12
             337        50.6364                  11
             338        58.3636                  11
             339        43.375                    8
              34        44.6446                 847
             340        32.1538                  13
             341        27.8824                  17
             342        32                       13
             343       181.692                   13
             344       165.667                    6
             345        29                       10
             346        22.5                      2
             347        21.8                      5
             348        36.25                    12
             349        49.2727                  22
              35        51.8687                 739
             350        35.6667                   3
             351        17.1                     20
             352        26.3846                  13
             353        49.25                     4
             354        63.7333                  15
             355        35                       12
             356        43.0714                  14
             357        48.25                     8
             358        24.2                     10
             359        59.125                    8
              36        69.8534                 716
             360        31.1538                  13
             361        37.4                     15
             362        25.75                    12
             363        40.7143                   7
             364        75.1429                   7
             365        20.3333                   3
             366        66                        6
             367        47.5556                   9
             368        24.5                      4
             369        46.0625                  16
              37        48.2835                 649
             370        33                       12
             371       153.667                   12
             372        69.7143                   7
             373        62.375                    8
             374        52.3846                  13
             375        36.8333                   6
             376        75.1667                   6
             377       128.286                    7
             378        60.2857                   7
             379        39                        3
              38        36.8534                 573
             380        15.5                      2
             381        78                        2
             382      1404.5                      4
             383         7.25                     4
             384       135.75                     4
             385        39.3333                   6
             386        21                        2
             387        21.3333                   3
             388        59.25                     4
             389        34.8                     10
              39        57.1092                 568
             390        24.8571                   7
             391        41.1667                   6
             392        81.8                      5
             393        24                        3
             394        57                        7
             395        62.7778                   9
             396        57.4                      5
             397        35.1667                   6
             398        66                        6
             399        26.8889                   9
               4        23.6118             1893656
              40        44.2222                 513
             400        33.1538                  13
             401        34.2                     10
             402        47.5556                  18
             403        53.5714                   7
             404        65.8889                   9
