ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"129.21.30.116","elite","AS4385","US","Rochester Institute of Technology","80","Rochester Institute of Technology","3128","socks4","2112","1","2023-10-18T11:26:26.940Z","99","4241","4279"
"112.78.128.10","elite","AS17451","ID","Biznet Networks","182","Biznet","5678","socks4","3893","1","2023-10-18T11:26:26.749Z","89","3876","4365"
"171.97.40.215","elite","AS17552","TH","True Internet Corporation CO. Ltd.","189","Truenet Hisp","8080","socks5","5008","1","2023-10-18T11:26:26.743Z","89","3779","4230"
"162.247.243.29","elite","AS54113","US","Fastly, Inc.","1","New Relic","80","socks4","4599","1","2023-10-18T11:26:26.750Z","98","4338","4448"
"37.54.134.7","elite","AS6849","UA","UKRTELECOM","52","JSC Ukrtelecom","5678","socks4","3903","1","2023-10-18T11:26:24.337Z","26","1161","4471"
"151.80.33.46","elite","AS16276","FR","OVH SAS","81","OVH SAS","7497","socks5","5092","84","2023-10-18T11:26:24.639Z","100","4399","4399"
"139.177.177.45","elite","AS63949","DE","Akamai Technologies, Inc.","11","Linode","30927","socks5","5009","83","2023-10-18T11:26:24.342Z","89","3888","4366"
"177.85.205.29","elite","AS52554","BR","S. A. da Silva Junior","188","S. A. da Silva Junior","3629","socks4","3905","1","2023-10-18T11:26:24.344Z","98","4281","4353"
"200.29.176.172","elite","AS6429","CL","Telmex Chile Internet S.A.","292","Telmex Servicios Empresariales S.A","4145","socks4","5003","1","2023-10-18T11:26:24.339Z","99","4447","4475"
"103.85.103.129","elite","AS135788","IN","Vedant Broadband","189","N/A","5678","socks4","1517","1","2023-10-18T11:26:24.341Z","99","4366","4402"
"41.70.12.54","elite","AS37215","MW","Malawi Research and Education Network - MAREN","296","N/A","5678","socks4","4792","1","2023-10-18T11:26:22.050Z","84","3721","4415"
"58.35.206.18","elite","AS4812","CN","China Telecom (Group)","184","Chinanet SH","4145","socks4","4607","1","2023-10-18T11:26:22.051Z","74","3257","4386"
"178.253.208.146","elite","AS9125","RS","Orion Telekom users in Kraljevo","87","N/A","1080","socks4","3191","1","2023-10-18T11:26:22.135Z","100","4183","4203"
"194.26.224.250","elite","AS48031","UA","Ivanov Vitaliy Sergeevich","52","Proline IT Ltd","58503","socks4","4910","1","2023-10-18T11:26:22.850Z","100","4414","4431"
"103.220.205.162","elite","AS59362","BD","KS Network","178","Nazmul Karim Bhuiyan","4673","socks4","4996","1","2023-10-18T11:26:22.049Z","96","4208","4387"
"103.59.203.177","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","195","NET 4 U Services PVT LTD","4145","socks4","4496","2","2023-10-18T11:26:22.848Z","99","4297","4334"
"93.171.224.51","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","51","PE TV and Radio Company Kentavr-TV","4153","socks4","4791","1","2023-10-18T11:26:21.850Z","100","4387","4408"
"43.153.55.253","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","200","Tencent Cloud Computing","443","socks5","5092","1","2023-10-18T11:26:21.845Z","87","3787","4375"
"27.123.1.36","elite","AS45706","ID","PT Tele Globe Global","187","N/A","4153","socks4","4603","1","2023-10-18T11:26:21.847Z","100","4369","4385"
