/usr/bin/python3 /Users/christianzubcic/Documents/Monash University/2023/Semester 2/FYP/FYP/data/research_topics.py
AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
GLOBAL HEALTH ACTION                                                                                       44.25                  16
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY                                                44.1678               149
AUSTRALASIAN JOURNAL OF WATER RESOURCES                                                                    44                      4
CHRONOBIOLOGY INTERNATIONAL                                                                                43.875                 24
INTERNATIONAL JOURNAL OF MODELLING AND SIMULATION                                                          43.8                   15
INTERNATIONAL JOURNAL OF FOOD PROPERTIES                                                                   43.7013                77
SOUTH AFRICAN JOURNAL OF PLANT AND SOIL                                                                    43.6667                 9
INTERNATIONAL JOURNAL OF RAIL TRANSPORTATION                                                               43.6667                 3
INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT                                                            43.6429                14
JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY                                                                       43.6                   10
JOURNAL OF MAPS                                                                                            43.5882                17
SOUTH EAST ASIA RESEARCH                                                                                   43.5556                18
INTERNATIONAL JOURNAL OF PEST MANAGEMENT                                                                   43.4167                24
BIOCATALYSIS AND BIOTRANSFORMATION                                                                         43.375                 40
LIBYAN JOURNAL OF MEDICINE                                                                                 43.375                  8
BIOTECHNOLOGY AND GENETIC ENGINEERING REVIEWS                                                              43.25                  16
ERGONOMICS                                                                                                 43.1774                62
COGENT ENGINEERING                                                                                         43.1511               139
MECHANICS BASED DESIGN OF STRUCTURES AND MACHINES                                                          43.1091                55
BIOMARKERS                                                                                                 43.0857                70
SCANDINAVIAN JOURNAL OF OCCUPATIONAL THERAPY                                                               42.9545                66
ITALIAN JOURNAL OF ANIMAL SCIENCE                                                                          42.9444                18
INTERNATIONAL JOURNAL OF DIGITAL EARTH                                                                     42.8684                38
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY                                         42.85                  20
JOURNAL OF MENTAL HEALTH                                                                                   42.8387                93
BRAIN INJURY                                                                                               42.7481               258
CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE                                                             42.6842                19
NUCLEUS                                                                                                    42.6667                 6
URBAN WATER JOURNAL                                                                                        42.6364                33
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES                                                             42.5772               123
NETWORK-COMPUTATION IN NEURAL SYSTEMS                                                                      42.5455                11
MOLECULAR PHYSICS                                                                                          42.4483               145
CANCER BIOLOGY & THERAPY                                                                                   42.3475               141
MATERIALS RESEARCH LETTERS                                                                                 42                     16
